customer_id,customer_name,city,state,signup_date
1,Rakesh Patel,Meerut,Uttar Pradesh,2022-01-26
2,Rahul Patel,Ranchi,Jharkhand,2022-09-10
3,Rahul Chatterjee,Visakhapatnam,Andhra Pradesh,2022-11-19
4,Manish Singh,Varanasi,Uttar Pradesh,2022-05-24
5,Payal Yadav,Bangalore,Karnataka,2022-02-02
6,Varun Patel,Hyderabad,Telangana,2022-07-01
7,Rohit Jain,Gwalior,Madhya Pradesh,2022-02-16
8,Varun Jain,Kochi,Kerala,2022-04-27
9,Mohit Bansal,Bangalore,Karnataka,2022-03-18
10,Sunita Patel,Mumbai,Maharashtra,2022-05-01
11,Mohit Iyer,Vadodara,Gujarat,2022-05-31
12,Nisha Mehta,Amritsar,Punjab,2022-09-15
13,Mohit Khan,Allahabad,Uttar Pradesh,2022-03-10
14,Sunita Iyer,Meerut,Uttar Pradesh,2022-03-02
15,Priya Bansal,Vadodara,Gujarat,2022-02-02
16,Neha Khan,Vijayawada,Andhra Pradesh,2022-07-30
17,Kavita Iyer,Jodhpur,Rajasthan,2022-04-16
18,Varun Malhotra,Visakhapatnam,Andhra Pradesh,2022-01-24
19,Sunita Bansal,Bhopal,Madhya Pradesh,2022-11-18
20,Suman Jain,Kolkata,West Bengal,2022-03-28
21,Suresh Khan,Gwalior,Madhya Pradesh,2022-07-23
22,Payal Khan,Jodhpur,Rajasthan,2022-01-31
23,Kiran Singh,Kochi,Kerala,2022-11-27
24,Rakesh Kapoor,Bangalore,Karnataka,2022-08-01
25,Kavita Nair,Ludhiana,Punjab,2022-02-21
26,Deepak Sharma,Rajkot,Gujarat,2022-03-26
27,Kavita Malhotra,Bangalore,Karnataka,2022-07-05
28,Rahul Chatterjee,Amritsar,Punjab,2022-07-31
29,Alok Ghosh,Patna,Bihar,2022-04-04
30,Rakesh Das,Patna,Bihar,2022-04-29
31,Payal Iyer,Bhopal,Madhya Pradesh,2022-06-05
32,Priya Yadav,Lucknow,Uttar Pradesh,2022-06-29
33,Suresh Patel,Hyderabad,Telangana,2022-08-26
34,Payal Mehta,Allahabad,Uttar Pradesh,2022-03-03
35,Rakesh Nair,Pune,Maharashtra,2022-08-14
36,Kiran Chaudhary,Lucknow,Uttar Pradesh,2022-02-04
37,Rahul Yadav,Hyderabad,Telangana,2022-08-25
38,Rahul Sharma,Patna,Bihar,2022-09-02
39,Ravi Khan,Amritsar,Punjab,2022-03-04
40,Alok Chaudhary,Delhi,Delhi,2022-11-05
41,Mohit Nair,Amritsar,Punjab,2022-09-29
42,Ritu Chaudhary,Hyderabad,Telangana,2022-11-26
43,Deepak Bansal,Ludhiana,Punjab,2022-04-01
44,Priya Nair,Kolkata,West Bengal,2022-11-06
45,Manish Nair,Hyderabad,Telangana,2022-10-30
46,Mohit Verma,Bangalore,Karnataka,2022-02-10
47,Ritu Chaudhary,Chennai,Tamil Nadu,2022-09-17
48,Pooja Das,Bangalore,Karnataka,2022-07-28
49,Anjali Yadav,Ranchi,Jharkhand,2022-05-03
50,Manish Iyer,Ranchi,Jharkhand,2022-03-10
51,Rahul Chatterjee,Raipur,Chhattisgarh,2022-04-20
52,Ritu Verma,Vadodara,Gujarat,2022-06-29
53,Suman Singh,Meerut,Uttar Pradesh,2022-10-13
54,Ankit Yadav,Lucknow,Uttar Pradesh,2022-10-22
55,Neha Mehta,Kolkata,West Bengal,2022-02-23
56,Deepak Nair,Mumbai,Maharashtra,2022-05-07
57,Kavita Chaudhary,Indore,Madhya Pradesh,2022-11-16
58,Payal Iyer,Amritsar,Punjab,2022-07-11
59,Priya Chatterjee,Bangalore,Karnataka,2022-08-05
60,Nisha Patel,Varanasi,Uttar Pradesh,2022-08-23
61,Mohit Agarwal,Kochi,Kerala,2022-08-09
62,Ravi Gupta,Raipur,Chhattisgarh,2022-07-19
63,Rahul Chatterjee,Delhi,Delhi,2022-09-09
64,Deepak Patel,Raipur,Chhattisgarh,2022-07-08
